Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5, D6, D7, D8",0603,8,LED,C2286
J1,MicroSD(C91145),1,Micro_SD_Card,C91145
J2,USB-C(C2927029),1,USB_C_Receptacle_PowerOnly_6P,C2927029
"R1, R2, R3, R4, R5, R6, R7, R8",0402,8,330R,C12246
"R10, R11, R12, R9",0402,4,22K,C25768
"R13, R14",0603,2,5.1K,C23186
"SW1, SW2, SW3, SW4, SW5, SW6",TactileSwitch(C19724057),6,SW_MEC_5G,C19724057
